cluster,year,threshold,n_pixels,n_bg,n_peak,bg_mean,peak_mean,peak_area_km2,integrated_chl,percentile,method
2,2023,15.646977157592776,954,944,10,7.691812992095947,16.60980796813965,203.63546752929688,3382.18798828125,99,HDBSCAN
2,2024,16.445935764312747,954,944,10,8.183738708496094,17.757030487060547,209.8056182861328,3724.93017578125,99,HDBSCAN
2,2025,18.285771179199223,954,944,10,9.61309814453125,19.378610610961914,208.03433227539062,4031.24169921875,99,HDBSCAN
0,2002,22.702376346588085,1168,1156,12,10.04216480255127,33.48355484008789,224.37258911132812,7402.20703125,99,K-means
0,2003,16.472847690582284,1178,1166,12,7.018861770629883,20.080774307250977,216.37261962890625,4379.5,99,K-means
0,2004,15.001173105239872,1180,1168,12,8.01357650756836,21.83349609375,243.52513122558594,5337.23486328125,99,K-means
0,2005,16.533021354675316,1179,1167,12,7.877064228057861,23.302902221679688,233.5694580078125,5478.30419921875,99,K-means
0,2006,14.229959487915039,1176,1164,12,7.101319313049316,17.66807746887207,231.01303100585938,4066.29296875,99,K-means
0,2007,17.666240997314446,1173,1161,12,7.602458953857422,24.410173416137695,226.37930297851562,5596.40576171875,99,K-means
0,2008,15.44203186035153,1173,1161,12,7.639876365661621,20.66393280029297,232.06024169921875,4772.0595703125,99,K-means
0,2009,18.105078125000006,1181,1169,12,7.320396900177002,25.91628074645996,206.78961181640625,5426.5009765625,99,K-means
0,2010,16.759106197357184,1182,1170,12,7.324426651000977,20.536890029907227,227.13088989257812,4676.73779296875,99,K-means
0,2011,17.41160736083989,1182,1170,12,7.237301349639893,20.034250259399414,234.91818237304688,4694.64306640625,99,K-means
0,2012,15.45456098556519,1179,1167,12,8.24778938293457,19.17732048034668,232.70108032226562,4478.75634765625,99,K-means
0,2013,13.743670692443857,1178,1166,12,7.05656099319458,17.250558853149414,213.51858520507812,3696.5244140625,99,K-means
0,2014,14.440995082855228,1178,1166,12,6.591126918792725,20.9586124420166,218.80313110351562,4630.3017578125,99,K-means
0,2015,14.676137018203724,1170,1158,12,7.321709156036377,21.074983596801758,223.1017608642578,4568.4267578125,99,K-means
0,2016,15.707777957916273,1180,1168,12,7.422914981842041,22.756385803222656,217.61001586914062,4897.4326171875,99,K-means
0,2017,13.446341037750244,1179,1167,12,7.625364780426025,18.740753173828125,227.58270263671875,4303.2109375,99,K-means
0,2018,14.358197746276867,1177,1165,12,6.870589733123779,18.938791275024414,213.16860961914062,3990.279296875,99,K-means
0,2019,15.31780932426454,1182,1170,12,7.444709777832031,20.864564895629883,224.822265625,4627.8984375,99,K-means
0,2020,14.884618129730224,1175,1163,12,7.524428367614746,21.39659881591797,223.4112091064453,4666.56591796875,99,K-means
0,2021,17.186142444610596,1176,1164,12,8.222786903381348,24.01202964782715,215.2642822265625,5173.4091796875,99,K-means
0,2022,17.287304401397705,1176,1164,12,8.88070297241211,20.71259117126465,219.7530517578125,4561.0302734375,99,K-means
0,2023,16.59772300720215,1176,1164,12,9.174038887023926,19.90647315979004,224.77474975585938,4429.1396484375,99,K-means
0,2024,22.738245162963842,1172,1160,12,10.406460762023926,31.510704040527344,205.09080505371094,6531.619140625,99,K-means
0,2025,17.56931209564209,1176,1164,12,9.431119918823242,20.71282958984375,203.94973754882812,4213.27490234375,99,K-means
1,2002,20.69787433624266,1163,1151,12,5.322505474090576,25.48006248474121,246.58079528808594,6296.255859375,99,K-means
1,2003,18.222933540344208,1164,1152,12,8.76907730102539,22.687660217285156,243.27743530273438,5541.1650390625,99,K-means
1,2004,18.775209865570066,1164,1152,12,7.298065185546875,24.462602615356445,249.81405639648438,6119.990234375,99,K-means
1,2005,15.473328781127906,1164,1152,12,6.407188415527344,17.388154983520508,251.07110595703125,4366.4267578125,99,K-means
1,2006,16.58625913619995,1164,1152,12,8.177403450012207,19.602523803710938,246.80258178710938,4849.3056640625,99,K-means
1,2007,17.492875041961632,1164,1152,12,8.074435234069824,21.547563552856445,247.7277374267578,5349.27978515625,99,K-means
1,2008,17.699432144165034,1164,1152,12,9.40125560760498,20.230073928833008,249.5087890625,5051.1708984375,99,K-means
1,2009,15.650548362731929,1165,1153,12,9.065225601196289,18.706438064575195,244.4727020263672,4582.3046875,99,K-means
1,2010,14.348810024261448,1164,1152,12,7.336506366729736,16.356531143188477,249.6785125732422,4087.414794921875,99,K-means
1,2011,16.05738599777221,1164,1152,12,8.069626808166504,20.01352882385254,252.59080505371094,5054.7265625,99,K-means
1,2012,13.487658109664892,1164,1152,12,6.795065879821777,16.1882266998291,247.3156280517578,4008.677978515625,99,K-means
1,2013,16.789450454711908,1164,1152,12,7.923980712890625,20.208419799804688,252.765869140625,5107.0771484375,99,K-means
1,2014,17.062595233917232,1164,1152,12,9.12947940826416,19.490798950195312,247.2860107421875,4828.05810546875,99,K-means
1,2015,14.287829885482747,1164,1152,12,7.697487831115723,19.34278106689453,250.45037841796875,4849.63427734375,99,K-means
1,2016,14.36621745109557,1164,1152,12,8.12195873260498,18.105871200561523,249.0902099609375,4514.990234375,99,K-means
1,2017,14.834919090270992,1163,1151,12,7.890937328338623,17.01173973083496,250.55709838867188,4264.7275390625,99,K-means
1,2018,16.043601245880122,1164,1152,12,8.886544227600098,17.108060836791992,252.6098175048828,4321.37353515625,99,K-means
1,2019,18.16404298782342,1164,1152,12,9.870598793029785,22.26324462890625,249.28665161132812,5555.5068359375,99,K-means
1,2020,12.480376091003373,1164,1152,12,6.50493860244751,15.15167236328125,247.72666931152344,3760.859130859375,99,K-means
1,2021,12.809693708419786,1164,1152,12,5.919849395751953,14.501495361328125,250.146728515625,3628.43994140625,99,K-means
1,2022,10.509306144714342,1164,1152,12,5.1650390625,11.89590835571289,250.59182739257812,2980.921142578125,99,K-means
1,2023,11.964154243469222,1164,1152,12,7.268874168395996,12.893340110778809,249.54054260253906,3218.173828125,99,K-means
1,2024,16.870276432037326,1164,1152,12,7.989551067352295,18.52936553955078,252.0899200439453,4668.78857421875,99,K-means
1,2025,18.503584632873533,1163,1151,12,9.531569480895996,20.612403869628906,250.0285186767578,5154.45654296875,99,K-means
2,2002,30.458231582641588,563,557,6,11.487723350524902,41.890254974365234,125.0862808227539,5242.06640625,99,K-means
2,2003,29.00805797576876,595,589,6,12.416986465454102,44.358489990234375,124.45441436767578,5518.39306640625,99,K-means
2,2004,28.77521217346189,597,591,6,10.360336303710938,42.019683837890625,120.54888916015625,5059.1806640625,99,K-means
2,2005,27.769032592773513,605,598,7,11.33963680267334,40.222869873046875,145.2089385986328,5847.6845703125,99,K-means
2,2006,23.284021224975586,614,607,7,10.800491333007812,37.630226135253906,144.7719268798828,5442.67724609375,99,K-means
2,2007,29.75297155380248,588,582,6,11.309752464294434,37.94231033325195,118.49785614013672,4516.7333984375,99,K-means
2,2008,27.61012111663816,582,576,6,11.209453582763672,32.392765045166016,124.32315063476562,4029.304443359375,99,K-means
2,2009,25.096558265685985,599,593,6,9.089231491088867,40.133209228515625,121.58586120605469,4899.00439453125,99,K-means
2,2010,23.258235931396484,616,609,7,8.951515197753906,29.893259048461914,142.5357208251953,4263.04541015625,99,K-means
2,2011,24.61555625915518,608,601,7,10.535703659057617,32.76026153564453,144.9921875,4752.78173828125,99,K-means
2,2012,22.61432018280027,611,604,7,10.351469993591309,25.311384201049805,145.46102905273438,3681.781005859375,99,K-means
2,2013,30.028100585937505,616,609,7,9.369558334350586,43.80953598022461,137.1328582763672,5951.77001953125,99,K-means
2,2014,29.282062187194796,599,593,6,11.504316329956055,43.949920654296875,119.76820373535156,5131.9814453125,99,K-means
2,2015,24.386778030395476,588,582,6,10.019319534301758,38.40944290161133,121.3748550415039,4689.841796875,99,K-means
2,2016,30.481773567199802,616,609,7,10.304109573364258,41.97270965576172,135.48793029785156,5655.5888671875,99,K-means
2,2017,28.635459899902344,601,594,7,10.622637748718262,46.6035270690918,144.58993530273438,6742.46435546875,99,K-means
2,2018,24.823851528167758,604,597,7,8.896820068359375,32.67192840576172,139.70504760742188,4555.4873046875,99,K-means
2,2019,29.700362110137974,616,609,7,10.434332847595215,37.0816764831543,144.38162231445312,5363.40771484375,99,K-means
2,2020,25.681630706787058,597,591,6,9.463809967041016,38.44771957397461,119.10466003417969,4573.3876953125,99,K-means
2,2021,27.37602519989011,611,604,7,8.47290325164795,35.905540466308594,139.81842041015625,5066.45263671875,99,K-means
2,2022,26.69230035781865,604,597,7,8.253583908081055,29.932451248168945,137.42527770996094,4101.2080078125,99,K-means
2,2023,23.455854759216297,599,593,6,10.399928092956543,30.47388458251953,115.32881164550781,3481.598388671875,99,K-means
2,2024,23.76255226135259,590,584,6,10.3319673538208,33.49982833862305,122.02208709716797,4063.683349609375,99,K-means
2,2025,22.31157365798948,598,592,6,9.295297622680664,31.414770126342773,120.34807586669922,3658.088134765625,99,K-means
